classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
PART,tae,1,4,3,0.666667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=9;PART_pruning=reducedErrorPruning;PART_numFolds=6;PART_confidenceFactorValue=null;","-B -M 9 -R -Q 1 -N 6"
PART,tae,1,4,4,0.693333,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-M 10 -U"
PART,tae,1,4,5,0.786667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=5;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -M 5 -U"
PART,tae,1,4,6,0.786667,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=6;PART_pruning=reducedErrorPruning;PART_numFolds=8;PART_confidenceFactorValue=null;","-B -J -M 6 -R -Q 1 -N 8"
PART,tae,1,4,7,0.796667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=5;PART_pruning=reducedErrorPruning;PART_numFolds=3;PART_confidenceFactorValue=null;","-B -M 5 -R -Q 1 -N 3"
PART,tae,1,4,8,0.693333,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=7;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.35;","-J -doNotMakeSplitPointActualValue -M 7 -C 0.35"
PART,tae,1,4,9,0.706667,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=9;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.15;","-M 9 -C 0.15"
PART,tae,1,4,10,0.726667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=2;PART_pruning=reducedErrorPruning;PART_numFolds=9;PART_confidenceFactorValue=null;","-B -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -N 9"
PART,tae,1,4,11,0.796667,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=5;PART_pruning=reducedErrorPruning;PART_numFolds=7;PART_confidenceFactorValue=null;","-J -M 5 -R -Q 1 -N 7"
PART,tae,1,4,12,0.786667,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=6;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -J -M 6 -U"
PART,tae,1,4,13,0.693333,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-doNotMakeSplitPointActualValue -M 10 -U"
PART,tae,1,4,14,0.743333,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-M 7 -U"
PART,tae,1,4,15,0.783333,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=3;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.45;","-B -J -M 3 -C 0.45"
PART,tae,1,4,16,0.760000,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -J -M 10 -U"
PART,tae,1,4,17,0.650000,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=3;PART_pruning=reducedErrorPruning;PART_numFolds=5;PART_confidenceFactorValue=null;","-J -M 3 -R -Q 1 -N 5"
PART,tae,1,4,18,0.740000,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=8;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -M 8 -U"
PART,tae,1,4,19,0.706667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.15;","-B -doNotMakeSplitPointActualValue -M 9 -C 0.15"
PART,tae,1,4,20,0.760000,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-J -doNotMakeSplitPointActualValue -M 10 -U"
PART,tae,1,4,21,0.753333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=4;PART_pruning=reducedErrorPruning;PART_numFolds=3;PART_confidenceFactorValue=null;","-B -M 4 -R -Q 1 -N 3"
PART,tae,1,4,22,0.763333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=4;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.05;","-B -doNotMakeSplitPointActualValue -M 4 -C 0.05"
PART,tae,1,4,23,0.853333,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-J -M 7 -U"
PART,tae,1,4,24,0.733333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=reducedErrorPruning;PART_numFolds=7;PART_confidenceFactorValue=null;","-B -M 7 -R -Q 1 -N 7"
